FIRSTNAME,LASTNAME,STATE,PA,CITY,ZIP
DAVINA,MARLOW,California,CA,Pomona,91769
RUBEN,DANIELSON,California,CA,LosAngeles,90052
JERMAINE,PRITCHARD,Michigan,MI,Warren,48090
ISSAC,DRISCOLL,Louisiana,LA,Shreveport,71102
EMILY,SPANGLER,California,CA,Sacramento,95813
STEPHANIE,MICHAEL,Pennsylvania,PA,Philadelphia,19104
JODY,PFEIFFER,Alabama,AL,Birmingham,35203
OTHA,BOYD,North Carolina,NC,Fayetteville,28302
KISHA,HARRISON,Michigan,MI,Lansing,48924
ABRAM,KEEN,California,CA,SanFrancisco,94188
JILL,EARLY,California,CA,SantaClarita,91355
RUBEN,BRINK,Florida,FL,Hollywood,33022
WALTON,YOUNG,Virginia,VA,Norfolk,23707
FELICIA,REAGAN,Arizona,AZ,Mesa,85201
SUNG,ISRAEL,Idaho,ID,BoiseCity,83708
MARCELINO,DAVIS,Texas,TX,Abilene,79604
JEFF,ECHOLS,Texas,TX,ElPaso,79910
ALEXIS,MCNEIL,California,CA,Inglewood,90301
TODD,SALES,California,CA,DalyCity,94015
NANNIE,HENDRIX,Texas,TX,Mesquite,75149
STACEY,STEWART,Utah,UT,SaltLakeCity,84199
CLEMENT,WOMACK,Oklahoma,OK,OklahomaCity,73125
DEVIN,LEMAY,California,CA,Sunnyvale,94086
JEAN,SALTER,Colorado,CO,Arvada,80004
NEREIDA,HOUCK,Virginia,VA,Alexandria,22314
CARMEN,HERRMANN,Kansas,KS,KansasCity,66106
HARLAND,MULLIGAN,Kansas,KS,KansasCity,66106
ALANA,LANEY,Alabama,AL,Birmingham,35203
ANTOINETTE,ECKERT,California,CA,Lancaster,93534
LORINE,PROCTOR,California,CA,MorenoValley,92553
MERLE,HIDALGO,California,CA,Oakland,94612
MARIETTA,BARCLAY,Florida,FL,Hollywood,33022
ESMERALDA,PONDER,NewYork,NY,Syracuse,13220
BRANDY,HIGGINBOTHAM,Texas,TX,Arlington,76004
JUNE,RYAN,NewJersey,NJ,JerseyCity,7302
RUSTY,JACOBS,Texas,TX,Amarillo,79120
EDNA,PURVIS,Texas,TX,Beaumont,77707
MITCHELL,WOMACK,Colorado,CO,Lakewood,80202
SANTA,POWELL,Mississippi,MS,Jackson,39205
ERMA,MCGOVERN,Nevada,NV,LasVegas,89199
MAJORIE,ROYAL,NewYork,NY,Rochester,14692
NEIL,COUSINS,Texas,TX,ElPaso,79910
CLAIRE,LAWRENCE,Oklahoma,OR,Eugene,97401
VINCE,LITTLE,Kansas,KS,Wichita,67276
ERASMO,CHRISTIANSON,California,CA,CostaMesa,92628
MONROE,REICH,NewYork,NY,NewYork,10199
ERIK,KRAUS,California,CA,Glendale,91205
LOURDES,MICHAELS,Washington,WA,Tacoma,98413
ROSALBA,MANCUSO,NewYork,NY,Rochester,14692
INGA,HEARN,California,CA,Hayward,94544
BERNARDO,APPLEGATE,California,CA,ThousandOaks,91362
BOOKER,BURDICK,Arizona,AZ,Phoenix,85026
SAMMIE,PRATT,California,CA,Bakersfield,93380
JAMES,KEELER,California,CA,Downey,90241
ALFREDA,GOSSETT,California,CA,Fairfield,94533
SANFORD,DOUGLAS,Virginia,VA,NewportNews,23501
LEAH,RAYMOND,California,CA,Sunnyvale,94086
DEON,KINDER,Arizona,AZ,Peoria,85381
LELIA,TRAVIS,NewJersey,NJ,Paterson,7510
ROCHELLE,CROUSE,California,CA,Escondido,92025
LATOSHA,CAVAZOS,Utah,UT,SaltLakeCity,84199
LOUIS,GOETZ,Tennessee,TN,Knoxville,37950
HAILEY,CRUTCHFIELD,California,CA,HuntingtonBeach,92647
ROSS,SWAFFORD,Ohio,OH,Cincinnati,45225
LILY,LILES,Tennessee,TN,Nashville-Davidson6,37230
MAN,FENNELL,California,CA,Burbank,91505
MIQUEL,WYATT,NewYork,NY,Rochester,14692
TAMMI,CLIFTON,Connecticut,CT,Stamford,6904
KEVIN,TUCKER,California,CA,Antioch,94509
LOURDES,MCCANN,Texas,TX,Dallas,75260
BURTON,QUICK,Texas,TX,Beaumont,77707
CHONG,PEPPER,Florida,FL,Jacksonville,32203
DOTTIE,PINSON,California,CA,ElMonte,91734
TRENTON,LINDQUIST,Pennsylvania,PA,Pittsburgh,15290
NOREEN,DEATON,NewYork,NY,Yonkers,10701
ELMA,CREECH,NewJersey,NJ,Newark,7102
SILAS,SCHAEFER,Texas,TX,SanAntonio,78284
IRIS,CRAIG,Nevada,NV,Reno,89510
LADONNA,KIDD,Florida,FL,CapeCoral,33909
RODGER,MIDDLETON,California,CA,Fullerton,92834
ERMA,SNEAD,Florida,FL,Tallahassee,32301
TERESITA,COMBS,Nevada,NV,NorthLasVegas,89030
TRACY,BECKMAN,Iowa,IA,CedarRapids,52401
ELOY,DANNER,North Carolina,NC,Charlotte,28228
PILAR,ALSTON,Louisiana,LA,Lafayette,70509
BEATRICE,TEAGUE,Arizona,AZ,Chandler,85225
CORINNE,STERN,California,CA,WestCovina,91793
MONIQUE,DELLINGER,Virginia,VA,Norfolk,23707
KRISTOPHER,RANSOM,California,CA,SanJose,95101
NORBERTO,RUBIN,California,CA,Berkeley,94704
MANUAL,LAFLEUR,Kansas,KS,Olathe,66051
BECKY,NESBITT,NewYork,NY,Buffalo,14240
MARYANNE,PONCE,Georgia,GA,Savannah,31402
BENJAMIN,SOLIZ,Nevada,NV,Reno,89510
LYNDON,FELIX,Colorado,CO,FortCollins,80525
DARELL,NORTH,South Carolina,SC,Charleston,29401
NAN,PORTER,Massachusetts,MA,Boston,2205
GISELA,OCONNOR,Connecticut,CT,NewHaven,6511
CHERYL,CHISHOLM,California,CA,SanDiego,92199
HEIDI,SCHWARZ,North Carolina,NC,Winston-Salem,27102
ROSANNE,PARRIS,North Carolina,NC,Fayetteville,28302
DENISE,CAPPS,California,CA,Fullerton,92834
MAUDE,SANDOVAL,Michigan,MI,SterlingHeights,48311
NAKIA,SEALS,Illinois,IL,Aurora,60505
ANDRES,BYRNE,Ohio,OH,Dayton,45401
SID,ROBLES,Kentucky,KY,Louisville,40231
RASHAD,MCGRATH,Florida,FL,St.Petersburg,33730
ELVA,PARRIS,Kansas,KS,Topeka,66603
LIZETTE,CRAIG,California,CA,Concord,94520
RENATA,MATTSON,Virginia,VA,Richmond,23232
GROVER,PEPPER,California,CA,SanDiego,92199
EVONNE,STEPP,Alabama,AL,Birmingham,35203
ROSA,GLEASON,Florida,FL,PompanoBeach,33060
DEAN,NUNEZ,California,CA,SanDiego,92199
SHERRIE,LINTON,North Carolina,NC,Greensboro,27420
LYDIA,MIXON,Arizona,AZ,Gilberttown,85296
PHILLIP,EGGLESTON,Missouri,MO,KansasCity,64108
MATTIE,SPENCE,California,CA,Fullerton,92834
CECILIA,MCCLELLAN,Nevada,NV,LasVegas,89199
OTIS,MAJORS,Texas,TX,Amarillo,79120
JACQULINE,SHERRILL,California,CA,LosAngeles,90052
LUPE,HURST,California,CA,Fairfield,94533
KEELY,WHATLEY,Indiana,IN,FortWayne,46802
FRANKLIN,DEVLIN,NewJersey,NJ,Elizabeth,7208
GUADALUPE,BURGE,California,CA,SanBernardino,92401
KELSEY,CRESPO,California,CA,Hayward,94544
MARCELLUS,WHITWORTH,Nevada,NV,Reno,89510
RANDY,CHEATHAM,California,CA,WestCovina,91793
CATALINA,RIVAS,California,CA,GardenGrove,92842
MADELEINE,NAYLOR,Arizona,AZ,Tucson,85726
RUSTY,PORTER,California,CA,Orange,92863
SHERI,GIFFORD,Illinois,IL,Joliet,60436
ANNETTA,SHEETS,Texas,TX,Denton,76201
TRINIDAD,COMBS,Massachusetts,MA,Springfield,1101
VIRGINA,BARCLAY,Connecticut,CT,Bridgeport,6602
ESTELLA,GANNON,Arizona,AZ,Tempe,85282
HILARIO,DIAL,Florida,FL,Hialeah,33010
FELTON,DICK,California,CA,GardenGrove,92842
LEOPOLDO,DONNELLY,California,CA,Hayward,94544
VONDA,HENDRICKSON,Alabama,AL,Mobile,36601
BRAIN,MADISON,California,CA,SantaClarita,91355
ADELL,WELDON,California,CA,RanchoCucamonga,91729
KAY,GIRARD,California,CA,SimiValley,93065
NONA,FAUST,Alabama,AL,Birmingham,35203
DENIS,OLEARY,Minnesota,MN,St.Paul,55109
CAROLINA,HOOKS,NewJersey,NJ,JerseyCity,7302
ANTWAN,WRAY,Georgia,GA,Columbus,31908
ALVARO,WAHL,California,CA,Oceanside,92054
JANIE,SADLER,Oklahoma,OR,Eugene,97401
ALYCIA,ARMSTEAD,Utah,UT,SaltLakeCity,84199
HAL,MURRY,Missouri,MO,St.Louis,63155
VENUS,DONALDSON,California,CA,Stockton,95208
SHERYL,MOSES,Mississippi,MS,Jackson,39205
ERWIN,TRUJILLO,California,CA,ElMonte,91734
ARLENE,ZIMMERMAN,Texas,TX,Laredo,78041
CHRISTY,VAUGHAN,NewHampshire,NH,Manchester,3103
TIFFANIE,YBARRA,Pennsylvania,PA,Pittsburgh,15290
HERMINIA,LANDRUM,Tennessee,TN,Memphis,38101
CEDRICK,MCCLENDON,Indiana,IN,FortWayne,46802
ALICE,WEINSTEIN,Virginia,VA,VirginiaBeach,23450
GRISELDA,SYKES,Colorado,CO,Denver,80202
KAYE,FOOTE,California,CA,Sacramento,95813
STAN,CHESTNUT,California,CA,Berkeley,94704
RENE,CORBIN,NewJersey,NJ,Paterson,7510
DAVID,BEACH,Arizona,AZ,Peoria,85381
CLEMENT,MOJICA,California,CA,Vallejo,94590
IDA,TIJERINA,California,CA,Pasadena,91103
DELOIS,MCCOY,NewJersey,NJ,JerseyCity,7302
NITA,MCADAMS,Florida,FL,Clearwater,33990
LASHANDA,MCLAIN,Michigan,MI,Detroit,48233
VICTORIA,SHAFER,Ohio,OH,Akron,44309
OLIN,DONNELLY,Texas,TX,Arlington,76004
LUELLA,CONN,Indiana,IN,Evansville,47708
JENNA,COSBY,Virginia,VA,Alexandria,22314
ZOE,CRAIN,Rhode Island,RI,Providence,2904
DARON,BOOTH,Texas,TX,Arlington,76004
SUSAN,ESCOBAR,Virginia,VA,Alexandria,22314
TYRELL,PAPPAS,Florida,FL,PompanoBeach,33060
JENNIFER,RAGLAND,Virginia,VA,Chesapeake,23670
MILAGROS,LEMIEUX,Indiana,IN,FortWayne,46802
ANTIONE,JOSEPH,Michigan,MI,SterlingHeights,48311
EUSEBIO,LONDON,Florida,FL,St.Petersburg,33730
MARVA,TOBIN,Wisconsin,WI,Milwaukee,53203
MAYA,BACON,Oklahoma,OK,OklahomaCity,73125
DEIDRE,BEAVERS,Nevada,NV,LasVegas,89199
EMILIO,HURST,Michigan,MI,Detroit,48233
CARIDAD,PRINGLE,California,CA,Fresno,93706
HARLEY,MCKEE,Washington,WA,Bellevue,98009
ELENOR,MIXON,Texas,TX,Pasadena,77501
MINNIE,LOFTON,California,CA,LongBeach,90802
HILDA,GIORDANO,California,CA,DalyCity,94015
AMOS,WRIGHT,Texas,TX,Lubbock,79402
LEILANI,BARNHILL,South Carolina,SC,Columbia,29201
LETA,VARNEY,California,CA,ChulaVista,91910
KISHA,BARBEE,Florida,FL,CapeCoral,33909
LAURETTE,PAINE,Illinois,IL,Joliet,60436
JAZMIN,MARCUS,California,CA,SantaRosa,95402
JONAS,CALLOWAY,Nebraska,NE,Lincoln,68501
EDGAR,MAESTAS,Ohio,OH,Toledo,43601
TONEY,ODOM,Maryland,MD,Baltimore,21202
ELISEO,MARRERO,Hawaii,HI,Honolulu,96820
JESSIE,REYNOSO,North Carolina,NC,Raleigh,27613
ROSS,ANDREW,Pennsylvania,PA,Philadelphia,19104
NOVA,MAIER,California,CA,Oakland,94612
KIRK,DIX,California,CA,Vallejo,94590
PAULINA,PAULEY,Ohio,OH,Columbus,43216
OLIVIA,NICHOLS,California,CA,GardenGrove,92842
FARRAH,VINSON,Florida,FL,St.Petersburg,33730
RODRICK,NORMAN,California,CA,Fairfield,94533
DEBBY,PEARSON,Illinois,IL,Springfield,62703
ETHELYN,ROCHE,North Carolina,NC,Greensboro,27420
ROBIN,WANG,Kansas,KS,Olathe,66051
KAYE,STRINGER,California,CA,SantaClarita,91355
ALVIN,HOLLEY,Arizona,AZ,Phoenix,85026
ARMIDA,STUART,Florida,FL,Clearwater,33990
TESSA,SAMS,Connecticut,CT,Hartford,6101
DEBBIE,GEIGER,Louisiana,LA,Shreveport,71102
KRISTINE,KILPATRICK,North Carolina,NC,Durham,27701
GORDON,BRITT,Texas,TX,Laredo,78041
EDNA,KIM,California,CA,Lancaster,93534
FLOSSIE,MAY,Virginia,VA,ArlingtonCDP,23320
BENNY,WADSWORTH,Utah,UT,WestValleyCity,84199
CARLOS,DENTON,Illinois,IL,Joliet,60436
NEDRA,AREVALO,Virginia,VA,ArlingtonCDP,23320
MOHAMMAD,RAINES,Michigan,MI,Detroit,48233
BRAIN,OVERSTREET,Texas,TX,Pasadena,77501
IAN,COFFIN,Florida,FL,PembrokePines,33024
LEILA,SHANNON,Alabama,AL,Birmingham,35203
EZEQUIEL,ROUSH,Oklahoma,OK,Tulsa,74107
MARISSA,ARCHER,Michigan,MI,AnnArbor,48104
STEPHEN,DENSON,Texas,TX,Plano,75074
GAYLE,BRITT,California,CA,Berkeley,94704
MAXWELL,RYAN,Utah,UT,SaltLakeCity,84199
DAVINA,LEVINE,Arizona,AZ,Mesa,85201
LAURENCE,CHANCE,Texas,TX,Waco,76702
MINERVA,BENEDICT,Illinois,IL,Rockford,61125
EVIE,MANLEY,Texas,TX,Amarillo,79120
VALENTIN,CRAWLEY,Arizona,AZ,Tempe,85282
NIGEL,GOLDSMITH,Minnesota,MN,Minneapolis,55401
ANIBAL,GALLANT,Florida,FL,PembrokePines,33024
DIANNA,MEADOR,Colorado,CO,FortCollins,80525
CAREN,AREVALO,California,CA,Pasadena,91103
GEORGIE,QUICK,California,CA,Vallejo,94590
AUDRY,HOWELL,Texas,TX,GrandPrairie,75051
AVIS,BLAKE,Indiana,IN,Indianapolis,46206
BOBBI,MYLES,Colorado,CO,Thornton,80221
KELLEY,SHULTZ,NewJersey,NJ,Elizabeth,7208
OMAR,WILBANKS,California,CA,Visalia,93277
JULES,SPRAGUE,Wisconsin,WI,Milwaukee,53203
JILL,FAGAN,California,CA,Concord,94520
ALPHONSO,PHIPPS,NewJersey,NJ,Elizabeth,7208
SOCORRO,MIRANDA,Nevada,NV,LasVegas,89199
MATTHEW,SOLIZ,California,CA,Stockton,95208
MYRA,MCNEAL,Virginia,VA,ArlingtonCDP,23320
BOYD,MORLEY,Texas,TX,McAllen,78501
ROSARIO,WEAVER,Virginia,VA,ArlingtonCDP,23320
SAMUAL,ALLISON,Texas,TX,McAllen,78501
QUINTIN,BELLAMY,North Carolina,NC,Greensboro,27420
ASA,BEGLEY,Colorado,CO,Lakewood,80202
YONG,MONTANEZ,North Carolina,NC,Charlotte,28228
AUDREY,LINDBERG,Colorado,CO,Pueblo,81003
IKE,BABCOCK,Texas,TX,ElPaso,79910
CLAUDIA,NAVA,South Dakota,SD,SiouxFalls,57104
CARMEN,RUST,Oklahoma,OK,Norman,73019
DEIDRA,BIRD,Alabama,AL,Mobile,36601
MICHELL,GRIGSBY,Florida,FL,PortSt.Lucie,34952
FAWN,ASHFORD,Colorado,CO,ColoradoSprings,80903
CARLOTTA,ALLISON,Florida,FL,Gainesville,32601
HAYDEE,OLVERA,California,CA,Oxnard,93030
CORY,KREBS,California,CA,Salinas,93907
EDISON,VAIL,Colorado,CO,ColoradoSprings,80903
LELAND,KNOTT,Michigan,MI,Detroit,48233
SHERRILL,MAGEE,Virginia,VA,NewportNews,23501
MARSHA,MCCLURE,Virginia,VA,ArlingtonCDP,23320
TOMAS,NGUYEN,Colorado,CO,ColoradoSprings,80903
KAMI,SAUCIER,California,CA,Oxnard,93030
LESLIE,WALLACE,Connecticut,CT,Waterbury,6702
ELMO,COTTON,Oklahoma,OK,Tulsa,74107
MARION,MCGHEE,California,CA,Palmdale,93550
CARSON,DELAROSA,California,CA,SantaClarita,91355
VIOLET,BOUCHER,California,CA,Roseville,95661
FREDRIC,DOBBINS,California,CA,Pasadena,91103
HERMELINDA,HADLEY,California,CA,Glendale,91205
GILBERTO,AQUINO,California,CA,Lancaster,93534
TANNER,CHANEY,Ohio,OH,Dayton,45401
LOWELL,NOONAN,Michigan,MI,AnnArbor,48104
GRISELDA,GANT,Georgia,GA,Columbus,31908
LAVERN,WANG,Nevada,NV,LasVegas,89199
WENDI,FENNELL,NewYork,NY,Syracuse,13220
JACQULINE,COON,Kansas,KS,KansasCity,66106
JAYNE,LOCKETT,Texas,TX,McAllen,78501
ELEANOR,HOOD,Colorado,CO,Pueblo,81003
VAN,SHOOK,Connecticut,CT,NewHaven,6511
LAWANDA,BERGMAN,Virginia,VA,Portsmouth,23702
LEIGH,CANADA,South Carolina,SC,Columbia,29201
JANICE,CORDERO,Oklahoma,OR,Salem,97309
DOVIE,DOVE,Illinois,IL,Rockford,61125
CURT,HAWKS,California,CA,Richmond,94801
GERTRUDE,CHANEY,Virginia,VA,Chesapeake,23670
SAMUEL,PAINTER,California,CA,MorenoValley,92553
LUCIANO,SAYLOR,Minnesota,MN,Minneapolis,55401
ROSALBA,WYLIE,Kentucky,KY,Louisville,40231
TOMMIE,SEGURA,Florida,FL,Clearwater,33990
SUMMER,SHIRLEY,Pennsylvania,PA,Allentown,18101
IVA,BATCHELOR,California,CA,Berkeley,94704
NOBLE,CRENSHAW,Iowa,IA,CedarRapids,52401
ROBBIN,MILTON,Texas,TX,ElPaso,79910
MISSY,ISRAEL,Texas,TX,Beaumont,77707
CINDI,COLBURN,Florida,FL,PompanoBeach,33060
CLINTON,BEHRENS,Louisiana,LA,Lafayette,70509
MILLIE,TALBERT,Kansas,KS,KansasCity,66106
ALONSO,BUTLER,Illinois,IL,Peoria,61601
RUSSEL,CROSBY,Kentucky,KY,Lexington-Fayette,40511
OK,MARSHALL,Texas,TX,Brownsville,78520
ANDREAS,AUSTIN,Texas,TX,Denton,76201
CHARMAINE,BERNSTEIN,California,CA,Pomona,91769
PERRY,HARTLEY,Arizona,AZ,Glendale,85302
ISIAH,LOGSDON,NewJersey,NJ,Elizabeth,7208
JOSEPH,INMAN,California,CA,LosAngeles,90052
LYNN,WESTON,Tennessee,TN,Knoxville,37950
ISIAH,MCLEAN,Florida,FL,CapeCoral,33909
DELMA,HAHN,NewJersey,NJ,Paterson,7510
VENUS,MCLAUGHLIN,Virginia,VA,ArlingtonCDP,23320
MAYRA,CLEMONS,California,CA,Pomona,91769
ARACELI,BURNETTE,Illinois,IL,Aurora,60505
IVORY,VALENTIN,Washington,WA,Seattle,98108
CLAUDINE,SHERMAN,California,CA,MorenoValley,92553
ANTOINE,MCMILLIAN,Nebraska,NE,Omaha,68108
LACEY,WORKMAN,Colorado,CO,Arvada,80004
JULIANA,SIKES,North Carolina,NC,Durham,27701
FARRAH,CORNISH,Texas,TX,Dallas,75260
ANTOINETTE,WHITTEN,Virginia,VA,VirginiaBeach,23450
PANSY,ENGLE,South Carolina,SC,Charleston,29401
AMBER,AUSTIN,California,CA,SanJose,95101
PHILOMENA,HIMES,Maryland,MD,Baltimore,21202
LILLY,WANG,California,CA,Concord,94520
FRAN,FINNEY,Colorado,CO,ColoradoSprings,80903
MATILDA,LAIRD,Texas,TX,Brownsville,78520
PEARLINE,ISBELL,Minnesota,MN,St.Paul,55109
NORRIS,MARCUS,NewJersey,NJ,Elizabeth,7208
MOSHE,SHIPLEY,North Carolina,NC,Winston-Salem,27102
JEANE,CROWELL,Oklahoma,OK,Norman,73019
CHRISTINE,CRABTREE,Texas,TX,Irving,75061
JENIFER,MEJIA,Tennessee,TN,Nashville-Davidson6,37230
JAYME,LOVETT,Ohio,OH,Cleveland,44101
PHUONG,GREGORY,Colorado,CO,Lakewood,80202
ALYCE,DONAHUE,Alabama,AL,Huntsville,35813
TERRELL,GLENN,Oklahoma,OK,OklahomaCity,73125
MAY,SUMNER,California,CA,ThousandOaks,91362
BEAU,GRIFFITHS,Colorado,CO,Arvada,80004
RUFUS,STANFORD,Tennessee,TN,Knoxville,37950
REINA,RUFFIN,California,CA,Ontario,91761
CRISTOPHER,SAAVEDRA,California,CA,ThousandOaks,91362
JEANNETTE,LANGLEY,California,CA,ChulaVista,91910
PORFIRIO,BURNETTE,Connecticut,CT,Bridgeport,6602
MARICELA,MYLES,Rhode Island,RI,Providence,2904
RICK,FRIEDMAN,Kansas,KS,Wichita,67276
QUINTIN,GRANGER,California,CA,Bakersfield,93380
ILA,AVERY,Alabama,AL,Birmingham,35203
MARGUERITE,MCCORD,North Carolina,NC,Greensboro,27420
WILLY,RHOADS,Louisiana,LA,NewOrleans,70113
KEISHA,MOELLER,California,CA,Sunnyvale,94086
CHERRY,JONES,Colorado,CO,Lakewood,80202
SYBLE,SWENSON,Kansas,KS,Olathe,66051
MADELINE,BLUE,Alabama,AL,Montgomery,36119
SHERRI,CASH,Ohio,OH,Columbus,43216
DOROTHY,CALHOUN,Louisiana,LA,Lafayette,70509
OPAL,RUTHERFORD,Indiana,IN,FortWayne,46802
MAXWELL,SOMMERS,Alaska,AK,Anchorage,99599
EARLE,CAVE,Colorado,CO,ColoradoSprings,80903
THEDA,ALBRIGHT,Pennsylvania,PA,Pittsburgh,15290
ILA,PORTILLO,Florida,FL,CapeCoral,33909
OCTAVIO,ENGEL,Florida,FL,CapeCoral,33909
TOSHA,WASHBURN,California,CA,Lancaster,93534
FAITH,BROWER,Indiana,IN,SouthBend,46624
MICHELLE,FLORENCE,Pennsylvania,PA,Pittsburgh,15290
NANCI,PAPPAS,Kansas,KS,OverlandPark,66204
CLEVELAND,NOBLES,Virginia,VA,Chesapeake,23670
ROLANDO,BOUDREAU,Michigan,MI,Detroit,48233
CLYDE,STAPLES,California,CA,SanDiego,92199
DENNIS,TIDWELL,Oklahoma,OR,Portland,97208
CAMERON,INGRAM,Missouri,MO,Springfield,65801
LUCY,SHORT,Colorado,CO,FortCollins,80525
GROVER,BLEVINS,California,CA,Riverside,92507
SHAYNE,SHAVER,California,CA,Fairfield,94533
TIFFANY,SINCLAIR,Minnesota,MN,St.Paul,55109
HARRISON,BLALOCK,Wisconsin,WI,GreenBay,54303
LIONEL,COULTER,Florida,FL,CapeCoral,33909
ADELA,BRANNON,California,CA,Hayward,94544
KENDRA,BUNDY,California,CA,Berkeley,94704
JERRI,HENLEY,Michigan,MI,Detroit,48233
BETSY,GARVIN,California,CA,ElkGrove,95624
OLETA,THOMAS,Illinois,IL,Joliet,60436
LETTIE,RICHARD,Ohio,OH,Dayton,45401
DAVID,DO,Wisconsin,WI,GreenBay,54303
ERNESTO,GADDY,California,CA,MorenoValley,92553
DELMA,KIRKLAND,California,CA,Visalia,93277
ANTWAN,WILKINSON,Arizona,AZ,Chandler,85225
GEORGIANA,MORROW,Texas,TX,Amarillo,79120
KASEY,SHIN,Texas,TX,GrandPrairie,75051
IOLA,MARIN,Nevada,NV,Reno,89510
SHIRLEE,LONG,California,CA,Antioch,94509
ERNESTINA,PARRA,California,CA,ElMonte,91734
BERTA,TATE,Colorado,CO,Thornton,80221
PABLO,TRIPLETT,Missouri,MO,St.Louis,63155
JIMMY,BENTON,Nevada,NV,Henderson,89015
MARILYN,CANTU,Missouri,MO,KansasCity,64108
JEAN,WASHBURN,Texas,TX,GrandPrairie,75051
TOMMIE,GILCHRIST,Florida,FL,Gainesville,32601
IMA,ALONZO,Kansas,KS,Topeka,66603
TERRA,CUMMINS,South Carolina,SC,Charleston,29401
WINFRED,ULRICH,Alaska,AK,Anchorage,99599
KATHERINE,ALFARO,Alabama,AL,Huntsville,35813
GILBERT,YOUNG,Ohio,OH,Akron,44309
SANDY,JEAN,Virginia,VA,Hampton,23607
MARISOL,MCNAIR,Connecticut,CT,Hartford,6101
KRISTOPHER,SHEPHERD,Illinois,IL,Rockford,61125
FAUSTINO,GUINN,North Carolina,NC,Raleigh,27613
LISSETTE,BOWIE,Florida,FL,Hollywood,33022
ETHELYN,BOLDEN,California,CA,Sacramento,95813
GUY,MARQUIS,California,CA,Riverside,92507
LEOTA,MORRISSEY,Pennsylvania,PA,Allentown,18101
GALE,LIBBY,California,CA,SimiValley,93065
JUANITA,LOCKETT,Oklahoma,OR,Salem,97309
ELVIS,DWYER,California,CA,SanFrancisco,94188
GALE,CHAPPELL,Iowa,IA,CedarRapids,52401
PERLA,RICHARDS,California,CA,CostaMesa,92628
ELIZABETH,SKIDMORE,Florida,FL,Hialeah,33010
SHEREE,NEWCOMB,Texas,TX,Mesquite,75149
MERLE,SHEPPARD,California,CA,GardenGrove,92842
OMER,MACON,Georgia,GA,Savannah,31402
STACEY,ROSEN,Arizona,AZ,Chandler,85225
MICHALE,ENNIS,California,CA,SanFrancisco,94188
WINNIE,COPE,Florida,FL,Gainesville,32601
MILO,SHANNON,Connecticut,CT,Bridgeport,6602
VALORIE,BEACH,Virginia,VA,Richmond,23232
MARNIE,PARSON,Nevada,NV,NorthLasVegas,89030
ARNULFO,FELTON,Wisconsin,WI,Milwaukee,53203
CHRYSTAL,GIPSON,Texas,TX,Garland,75040
TRINIDAD,ROMERO,California,CA,HuntingtonBeach,92647
ZELMA,ZARATE,Texas,TX,Beaumont,77707
DAYNA,WILEY,NewYork,NY,Rochester,14692
MARILYN,HAWTHORNE,Florida,FL,Orlando,32802
LEEANN,DENNIS,Illinois,IL,Springfield,62703
PRUDENCE,LUCAS,Arizona,AZ,Gilberttown,85296
CARA,WILKINS,California,CA,Lancaster,93534
GRANT,STATON,California,CA,ThousandOaks,91362
PHILIP,DUNAWAY,Kansas,KS,OverlandPark,66204
DANNA,HARTLEY,Virginia,VA,Hampton,23607
FEDERICO,ELLER,Michigan,MI,SterlingHeights,48311
DARCY,MAXWELL,Minnesota,MN,Minneapolis,55401
BETHANY,CAGLE,Michigan,MI,Flint,48502
MARLENE,LARSON,Ohio,OH,Cleveland,44101
CLARISSA,COLSON,California,CA,Hayward,94544
DANIELLE,BURKETT,Washington,WA,Bellevue,98009
LADONNA,BURKS,California,CA,Anaheim,92803
MERRY,BOWIE,California,CA,ElkGrove,95624
TORY,GUY,Alabama,AL,Montgomery,36119
SUMMER,MARCUS,Connecticut,CT,Waterbury,6702
LISETTE,LONDON,Texas,TX,Arlington,76004
UNA,ATWELL,California,CA,Oceanside,92054
MOHAMMAD,LOGAN,Washington,WA,Tacoma,98413
JANNETTE,ISAAC,Oklahoma,OR,Portland,97208
CARLA,PEARCE,California,CA,Anaheim,92803
REYNALDO,NGUYEN,Florida,FL,PompanoBeach,33060
STEFAN,THACKER,Kansas,KS,KansasCity,66106
LYNDSEY,COSBY,Tennessee,TN,Chattanooga,37421
GISELLE,STROTHER,California,CA,Stockton,95208
AMOS,METZ,Connecticut,CT,Waterbury,6702
JOHNNIE,HUFF,California,CA,Modesto,95350
EFFIE,HUNDLEY,Texas,TX,Abilene,79604
MARITA,SMALLWOOD,Nebraska,NE,Lincoln,68501
BRIANNE,ESCOBAR,NewYork,NY,Buffalo,14240
TYSON,STROTHER,NewJersey,NJ,Newark,7102
MAXIE,NEWBY,California,CA,Riverside,92507
CAROLINA,ODONNELL,California,CA,Lancaster,93534
GEORGIA,POTTER,Texas,TX,McAllen,78501
TIFFANY,COSBY,Illinois,IL,Springfield,62703
HERSCHEL,FERRELL,Texas,TX,Dallas,75260
HOLLIS,ADAM,Connecticut,CT,Hartford,6101
ETHAN,CHOW,Nebraska,NE,Lincoln,68501
JESSE,KIM,Colorado,CO,ColoradoSprings,80903
VIOLETA,SHIRLEY,Texas,TX,ElPaso,79910
ELISABETH,MOSS,North Carolina,NC,Fayetteville,28302
FLETCHER,STCLAIR,Virginia,VA,Hampton,23607
BERNIE,OLSON,Florida,FL,Tallahassee,32301
PATTI,PIKE,Washington,WA,Bellevue,98009
